;Well;Fluor;Target;Content;Sample;Cq;SQ
;M15;SYBR;;Unkn;;NaN;NaN
;M16;SYBR;;Unkn;;NaN;NaN
;M17;SYBR;;Unkn;;NaN;NaN
;M18;SYBR;;Unkn;;NaN;NaN
;M19;SYBR;;Unkn;;NaN;NaN
;M20;SYBR;;Unkn;;NaN;NaN
;M21;SYBR;;Unkn;;NaN;NaN
;M22;SYBR;;Unkn;;NaN;NaN
;M23;SYBR;;Unkn;;NaN;NaN
;M24;SYBR;;Unkn;;NaN;NaN
;N01;SYBR;RPS49;Unkn;;16,0261524985129;NaN
;N02;SYBR;RPS49;Unkn;;16,9681469569491;NaN
;N03;SYBR;Vg;Unkn;;26,0524624392298;NaN
;N04;SYBR;Vg;Unkn;;27,1729008598713;NaN
;N05;SYBR;A1;Unkn;;29,1421751244232;NaN
;N06;SYBR;A1;Unkn;;30,8247867076037;NaN
;N07;SYBR;;Unkn;;NaN;NaN
;N08;SYBR;;Unkn;;NaN;NaN
;N09;SYBR;;Unkn;;NaN;NaN
;N10;SYBR;;Unkn;;NaN;NaN
;N11;SYBR;;Unkn;;NaN;NaN
;N12;SYBR;;Unkn;;NaN;NaN
;N13;SYBR;;Unkn;;NaN;NaN
;N14;SYBR;;Unkn;;NaN;NaN
;N15;SYBR;;Unkn;;NaN;NaN
;N16;SYBR;;Unkn;;NaN;NaN
;N17;SYBR;;Unkn;;NaN;NaN
;N18;SYBR;;Unkn;;NaN;NaN
;N19;SYBR;;Unkn;;NaN;NaN
;N20;SYBR;;Unkn;;NaN;NaN
;N21;SYBR;;Unkn;;NaN;NaN
;N22;SYBR;;Unkn;;NaN;NaN
;N23;SYBR;;Unkn;;NaN;NaN
;N24;SYBR;;Unkn;;NaN;NaN
;O01;SYBR;RPS49;Unkn;;21,16432917245;NaN
;O02;SYBR;RPS49;Unkn;;21,2373080270251;NaN
;O03;SYBR;Vg;Unkn;;27,4100304579123;NaN
;O04;SYBR;Vg;Unkn;;26,9771845708298;NaN
;O05;SYBR;A1;Unkn;;NaN;NaN
;O06;SYBR;A1;Unkn;;NaN;NaN
;O07;SYBR;;Unkn;;NaN;NaN
;O08;SYBR;;Unkn;;NaN;NaN
;O09;SYBR;;Unkn;;NaN;NaN
;O10;SYBR;;Unkn;;NaN;NaN
;O11;SYBR;;Unkn;;NaN;NaN
;O12;SYBR;;Unkn;;NaN;NaN
;O13;SYBR;;Unkn;;NaN;NaN
;O14;SYBR;;Unkn;;NaN;NaN
;O15;SYBR;;Unkn;;NaN;NaN
;O16;SYBR;;Unkn;;NaN;NaN
;O17;SYBR;;Unkn;;NaN;NaN
;O18;SYBR;;Unkn;;NaN;NaN
;O19;SYBR;;Unkn;;NaN;NaN
;O20;SYBR;;Unkn;;NaN;NaN
;O21;SYBR;;Unkn;;NaN;NaN
;O22;SYBR;;Unkn;;NaN;NaN
;O23;SYBR;;Unkn;;NaN;NaN
;O24;SYBR;;Unkn;;NaN;NaN
;P01;SYBR;RPS49;Unkn;;20,0786096302275;NaN
;P02;SYBR;RPS49;Unkn;;19,7416308944658;NaN
;P03;SYBR;Vg;Unkn;;26,6999739640245;NaN
;P04;SYBR;Vg;Unkn;;26,148040933825;NaN
;P05;SYBR;A1;Unkn;;NaN;NaN
;P06;SYBR;A1;Unkn;;NaN;NaN
;P07;SYBR;;Unkn;;NaN;NaN
;P08;SYBR;;Unkn;;NaN;NaN
;P09;SYBR;;Unkn;;NaN;NaN
;P10;SYBR;;Unkn;;NaN;NaN
;P11;SYBR;;Unkn;;NaN;NaN
;P12;SYBR;;Unkn;;NaN;NaN
;P13;SYBR;;Unkn;;NaN;NaN
;P14;SYBR;;Unkn;;NaN;NaN
;P15;SYBR;;Unkn;;NaN;NaN
;P16;SYBR;;Unkn;;NaN;NaN
;P17;SYBR;;Unkn;;NaN;NaN
;P18;SYBR;;Unkn;;NaN;NaN
;P19;SYBR;;Unkn;;NaN;NaN
;P20;SYBR;;Unkn;;NaN;NaN
;P21;SYBR;;Unkn;;NaN;NaN
;P22;SYBR;;Unkn;;NaN;NaN
;P23;SYBR;;Unkn;;NaN;NaN
;P24;SYBR;;Unkn;;NaN;NaN
